sample	study	instrument_model	library_name	library_source	library_selection	library_strategy	library_layout	forward_file_name	reverse_file_name
ERS29427662	PRJEB109258	Illumina NovaSeq X Plus	CAR0325__RNAseq__RunId135_LaneId1	TRANSCRIPTOMIC	cDNA	RNA-Seq	PAIRED	2024/02_29/paco_rna_seq_test_run/illumina_VH00745_flowcellAACGVNVHV_SampleIdCAR0325_RunId135_LaneId1/CAR0325_S752_R1_001.fastq.gz	2024/02_29/paco_rna_seq_test_run/illumina_VH00745_flowcellAACGVNVHV_SampleIdCAR0325_RunId135_LaneId1/CAR0325_S752_R2_001.fastq.gz
ERS29427662	PRJEB109258	Illumina NovaSeq X Plus	L1-CAR0325__RNAseq__RunId21_LaneId1	TRANSCRIPTOMIC	cDNA	RNA-Seq	PAIRED	2024/05_29/RNAna/illumina_LH00392_flowcell223LKNLT4_SampleIdL1-CAR0325_RunId21_LaneId1/L1-CAR0325_L1_R1_001.fastq.gz	2024/05_29/RNAna/illumina_LH00392_flowcell223LKNLT4_SampleIdL1-CAR0325_RunId21_LaneId1/L1-CAR0325_L1_R2_001.fastq.gz
ERS29427662	PRJEB109258	Illumina NovaSeq X Plus	L2-CAR0325__RNAseq__RunId21_LaneId1	TRANSCRIPTOMIC	cDNA	RNA-Seq	PAIRED	2024/05_29/RNAna/illumina_LH00392_flowcell223LKNLT4_SampleIdL2-CAR0325_RunId21_LaneId1/L2-CAR0325_L1_R1_001.fastq.gz	2024/05_29/RNAna/illumina_LH00392_flowcell223LKNLT4_SampleIdL2-CAR0325_RunId21_LaneId1/L2-CAR0325_L1_R2_001.fastq.gz
ERS29427662	PRJEB109258	Illumina NovaSeq X Plus	CAR0325__wgs__RunId39_LaneId1	GENOMIC	RANDOM	WGS	PAIRED	2024/06_03/BulkMeta/illumina_LH00392_flowcell22777CLT4_SampleIdCAR0325_RunId39_LaneId1/CAR0325_L1_R1_001.fastq.gz	2024/06_03/BulkMeta/illumina_LH00392_flowcell22777CLT4_SampleIdCAR0325_RunId39_LaneId1/CAR0325_L1_R2_001.fastq.gz
ERS29427662	PRJEB109258	Illumina NovaSeq X Plus	CAR0325__RNAseq__RunId038_LaneId1	TRANSCRIPTOMIC	cDNA	RNA-Seq	PAIRED	2024/12_09/paco_rna_seq_test_run/illumina_M00333_flowcell000000000-DPPHM_SampleIdCAR0325_RunId038_LaneId1/CAR0325_S272_R1_001.fastq.gz	2024/12_09/paco_rna_seq_test_run/illumina_M00333_flowcell000000000-DPPHM_SampleIdCAR0325_RunId038_LaneId1/CAR0325_S272_R2_001.fastq.gz
ERS29427662	PRJEB109258	Illumina NovaSeq X Plus	CAR0325-DNA__wgs__RunId106_LaneId1	GENOMIC	RANDOM	WGS	PAIRED	2024/10_01/Pool1_Shotgun_RNAna/illumina_LH00392_flowcell22GVL2LT4_SampleIdCAR0325-DNA_RunId106_LaneId1/CAR0325-DNA_L1_R1_001.fastq.gz	2024/10_01/Pool1_Shotgun_RNAna/illumina_LH00392_flowcell22GVL2LT4_SampleIdCAR0325-DNA_RunId106_LaneId1/CAR0325-DNA_L1_R2_001.fastq.gz
ERS29427662	PRJEB109258	Illumina NovaSeq X Plus	CAR0325-DNA__wgs__RunId174_LaneId1	GENOMIC	RANDOM	WGS	PAIRED	2025/02_07/RNAna_shotgun/illumina_LH00392_flowcell22KV7NLT4_SampleIdCAR0325-DNA_RunId174_LaneId1/CAR0325-DNA_L1_R1_001.fastq.gz	2025/02_07/RNAna_shotgun/illumina_LH00392_flowcell22KV7NLT4_SampleIdCAR0325-DNA_RunId174_LaneId1/CAR0325-DNA_L1_R2_001.fastq.gz
ERS29427663	PRJEB109258	Illumina NovaSeq X Plus	CAR0326__RNAseq__RunId135_LaneId1	TRANSCRIPTOMIC	cDNA	RNA-Seq	PAIRED	2024/02_29/paco_rna_seq_test_run/illumina_VH00745_flowcellAACGVNVHV_SampleIdCAR0326_RunId135_LaneId1/CAR0326_S980_R1_001.fastq.gz	2024/02_29/paco_rna_seq_test_run/illumina_VH00745_flowcellAACGVNVHV_SampleIdCAR0326_RunId135_LaneId1/CAR0326_S980_R2_001.fastq.gz
ERS29427663	PRJEB109258	Illumina NovaSeq X Plus	L1-CAR0326__RNAseq__RunId21_LaneId1	TRANSCRIPTOMIC	cDNA	RNA-Seq	PAIRED	2024/05_29/RNAna/illumina_LH00392_flowcell223LKNLT4_SampleIdL1-CAR0326_RunId21_LaneId1/L1-CAR0326_L1_R1_001.fastq.gz	2024/05_29/RNAna/illumina_LH00392_flowcell223LKNLT4_SampleIdL1-CAR0326_RunId21_LaneId1/L1-CAR0326_L1_R2_001.fastq.gz
ERS29427663	PRJEB109258	Illumina NovaSeq X Plus	L2-CAR0326__RNAseq__RunId21_LaneId1	TRANSCRIPTOMIC	cDNA	RNA-Seq	PAIRED	2024/05_29/RNAna/illumina_LH00392_flowcell223LKNLT4_SampleIdL2-CAR0326_RunId21_LaneId1/L2-CAR0326_L1_R1_001.fastq.gz	2024/05_29/RNAna/illumina_LH00392_flowcell223LKNLT4_SampleIdL2-CAR0326_RunId21_LaneId1/L2-CAR0326_L1_R2_001.fastq.gz
ERS29427663	PRJEB109258	Illumina NovaSeq X Plus	CAR0326__wgs__RunId39_LaneId1	GENOMIC	RANDOM	WGS	PAIRED	2024/06_03/BulkMeta/illumina_LH00392_flowcell22777CLT4_SampleIdCAR0326_RunId39_LaneId1/CAR0326_L1_R1_001.fastq.gz	2024/06_03/BulkMeta/illumina_LH00392_flowcell22777CLT4_SampleIdCAR0326_RunId39_LaneId1/CAR0326_L1_R2_001.fastq.gz
ERS29427663	PRJEB109258	Illumina NovaSeq X Plus	CAR0326-DNA__wgs__RunId106_LaneId1	GENOMIC	RANDOM	WGS	PAIRED	2024/10_01/Pool1_Shotgun_RNAna/illumina_LH00392_flowcell22GVL2LT4_SampleIdCAR0326-DNA_RunId106_LaneId1/CAR0326-DNA_L1_R1_001.fastq.gz	2024/10_01/Pool1_Shotgun_RNAna/illumina_LH00392_flowcell22GVL2LT4_SampleIdCAR0326-DNA_RunId106_LaneId1/CAR0326-DNA_L1_R2_001.fastq.gz
ERS29427663	PRJEB109258	Illumina NovaSeq X Plus	CAR0326-DNA__wgs__RunId174_LaneId1	GENOMIC	RANDOM	WGS	PAIRED	2025/02_07/RNAna_shotgun/illumina_LH00392_flowcell22KV7NLT4_SampleIdCAR0326-DNA_RunId174_LaneId1/CAR0326-DNA_L1_R1_001.fastq.gz	2025/02_07/RNAna_shotgun/illumina_LH00392_flowcell22KV7NLT4_SampleIdCAR0326-DNA_RunId174_LaneId1/CAR0326-DNA_L1_R2_001.fastq.gz
ERS29427664	PRJEB109258	Illumina NovaSeq X Plus	CAR0329__RNAseq__RunId135_LaneId1	TRANSCRIPTOMIC	cDNA	RNA-Seq	PAIRED	2024/02_29/paco_rna_seq_test_run/illumina_VH00745_flowcellAACGVNVHV_SampleIdCAR0329_RunId135_LaneId1/CAR0329_S537_R1_001.fastq.gz	2024/02_29/paco_rna_seq_test_run/illumina_VH00745_flowcellAACGVNVHV_SampleIdCAR0329_RunId135_LaneId1/CAR0329_S537_R2_001.fastq.gz
ERS29427664	PRJEB109258	Illumina NovaSeq X Plus	L1-CAR0329__RNAseq__RunId21_LaneId1	TRANSCRIPTOMIC	cDNA	RNA-Seq	PAIRED	2024/05_29/RNAna/illumina_LH00392_flowcell223LKNLT4_SampleIdL1-CAR0329_RunId21_LaneId1/L1-CAR0329_L1_R1_001.fastq.gz	2024/05_29/RNAna/illumina_LH00392_flowcell223LKNLT4_SampleIdL1-CAR0329_RunId21_LaneId1/L1-CAR0329_L1_R2_001.fastq.gz
ERS29427664	PRJEB109258	Illumina NovaSeq X Plus	L2-CAR0329__RNAseq__RunId21_LaneId1	TRANSCRIPTOMIC	cDNA	RNA-Seq	PAIRED	2024/05_29/RNAna/illumina_LH00392_flowcell223LKNLT4_SampleIdL2-CAR0329_RunId21_LaneId1/L2-CAR0329_L1_R1_001.fastq.gz	2024/05_29/RNAna/illumina_LH00392_flowcell223LKNLT4_SampleIdL2-CAR0329_RunId21_LaneId1/L2-CAR0329_L1_R2_001.fastq.gz
ERS29427664	PRJEB109258	Illumina NovaSeq X Plus	CAR0329__wgs__RunId39_LaneId1	GENOMIC	RANDOM	WGS	PAIRED	2024/06_03/BulkMeta/illumina_LH00392_flowcell22777CLT4_SampleIdCAR0329_RunId39_LaneId1/CAR0329_L1_R1_001.fastq.gz	2024/06_03/BulkMeta/illumina_LH00392_flowcell22777CLT4_SampleIdCAR0329_RunId39_LaneId1/CAR0329_L1_R2_001.fastq.gz
ERS29427664	PRJEB109258	Illumina NovaSeq X Plus	CAR0329__RNAseq__RunId038_LaneId1	TRANSCRIPTOMIC	cDNA	RNA-Seq	PAIRED	2024/12_09/paco_rna_seq_test_run/illumina_M00333_flowcell000000000-DPPHM_SampleIdCAR0329_RunId038_LaneId1/CAR0329_S153_R1_001.fastq.gz	2024/12_09/paco_rna_seq_test_run/illumina_M00333_flowcell000000000-DPPHM_SampleIdCAR0329_RunId038_LaneId1/CAR0329_S153_R2_001.fastq.gz
