reverse_file_md5	library_name	study	instrument_model	library_source	forward_file_name	sample	library_strategy	reverse_file_name	forward_file_md5	library_layout	library_selection
d04e05109618fcbcbba8a89a732e7f1f	CAR0325__RNAseq__RunId135_LaneId1	PRJEB109258	Illumina NovaSeq X Plus	TRANSCRIPTOMIC	CAR0325__RNAseq__RunId135_LaneId1_R1.fastq.gz	ERS29427662	RNA-Seq	CAR0325__RNAseq__RunId135_LaneId1_R2.fastq.gz	5d995f4492470de73d86e46723613a78	PAIRED	cDNA
0da12c8c3bcea91f33ac56ac7f6da247	L1-CAR0325__RNAseq__RunId21_LaneId1	PRJEB109258	Illumina NovaSeq X Plus	TRANSCRIPTOMIC	L1-CAR0325__RNAseq__RunId21_LaneId1_R1.fastq.gz	ERS29427662	RNA-Seq	L1-CAR0325__RNAseq__RunId21_LaneId1_R2.fastq.gz	adb1e704c97bb98545d1df723d9badc1	PAIRED	cDNA
3f0f0aaadf26b1bb691844ec5dd521c8	L2-CAR0325__RNAseq__RunId21_LaneId1	PRJEB109258	Illumina NovaSeq X Plus	TRANSCRIPTOMIC	L2-CAR0325__RNAseq__RunId21_LaneId1_R1.fastq.gz	ERS29427662	RNA-Seq	L2-CAR0325__RNAseq__RunId21_LaneId1_R2.fastq.gz	d1328fb291efd47537ba5fd0b50ac301	PAIRED	cDNA
f4dd9d0f6acceaa5c112b23b9952995d	CAR0325__wgs__RunId39_LaneId1	PRJEB109258	Illumina NovaSeq X Plus	GENOMIC	CAR0325__wgs__RunId39_LaneId1_R1.fastq.gz	ERS29427662	WGS	CAR0325__wgs__RunId39_LaneId1_R2.fastq.gz	41ee638550343ad1c5a8630b33a601f3	PAIRED	RANDOM
d137c4901f3ea01b500e3aa6653c3673	CAR0325__RNAseq__RunId038_LaneId1	PRJEB109258	Illumina NovaSeq X Plus	TRANSCRIPTOMIC	CAR0325__RNAseq__RunId038_LaneId1_R1.fastq.gz	ERS29427662	RNA-Seq	CAR0325__RNAseq__RunId038_LaneId1_R2.fastq.gz	83ef39f7fc124c6ee1afd654fe219cdb	PAIRED	cDNA
6760f7894227d3f1d98f15736aa16bf1	CAR0325-DNA__wgs__RunId106_LaneId1	PRJEB109258	Illumina NovaSeq X Plus	GENOMIC	CAR0325-DNA__wgs__RunId106_LaneId1_R1.fastq.gz	ERS29427662	WGS	CAR0325-DNA__wgs__RunId106_LaneId1_R2.fastq.gz	50f3123e784184c3457b46ae7d6da90e	PAIRED	RANDOM
9118a3ce77185ae2e7124b30ecb4e9ac	CAR0325-DNA__wgs__RunId174_LaneId1	PRJEB109258	Illumina NovaSeq X Plus	GENOMIC	CAR0325-DNA__wgs__RunId174_LaneId1_R1.fastq.gz	ERS29427662	WGS	CAR0325-DNA__wgs__RunId174_LaneId1_R2.fastq.gz	68299a87d1e1a812225de9c029465fe0	PAIRED	RANDOM
4eb87390a6fb386481f27c3e3241d555	CAR0326__RNAseq__RunId135_LaneId1	PRJEB109258	Illumina NovaSeq X Plus	TRANSCRIPTOMIC	CAR0326__RNAseq__RunId135_LaneId1_R1.fastq.gz	ERS29427663	RNA-Seq	CAR0326__RNAseq__RunId135_LaneId1_R2.fastq.gz	e4f23eeec2894603208dafb1064aaa0f	PAIRED	cDNA
a4c036eef2d5f016f575a01294391ca6	L1-CAR0326__RNAseq__RunId21_LaneId1	PRJEB109258	Illumina NovaSeq X Plus	TRANSCRIPTOMIC	L1-CAR0326__RNAseq__RunId21_LaneId1_R1.fastq.gz	ERS29427663	RNA-Seq	L1-CAR0326__RNAseq__RunId21_LaneId1_R2.fastq.gz	1d66bf688888a0b5b6de15d2b13494a5	PAIRED	cDNA
dc88fb61e7949014900476315a7684f8	L2-CAR0326__RNAseq__RunId21_LaneId1	PRJEB109258	Illumina NovaSeq X Plus	TRANSCRIPTOMIC	L2-CAR0326__RNAseq__RunId21_LaneId1_R1.fastq.gz	ERS29427663	RNA-Seq	L2-CAR0326__RNAseq__RunId21_LaneId1_R2.fastq.gz	7f00304f3154d36849e7c0744d0d8a33	PAIRED	cDNA
6b2195a0a371b7fdb5a7e1f129939e57	CAR0326__wgs__RunId39_LaneId1	PRJEB109258	Illumina NovaSeq X Plus	GENOMIC	CAR0326__wgs__RunId39_LaneId1_R1.fastq.gz	ERS29427663	WGS	CAR0326__wgs__RunId39_LaneId1_R2.fastq.gz	2425fba7e7a87c124649a1703209618a	PAIRED	RANDOM
9c9f789f21047c8bda7147147ca9c7ea	CAR0326-DNA__wgs__RunId106_LaneId1	PRJEB109258	Illumina NovaSeq X Plus	GENOMIC	CAR0326-DNA__wgs__RunId106_LaneId1_R1.fastq.gz	ERS29427663	WGS	CAR0326-DNA__wgs__RunId106_LaneId1_R2.fastq.gz	5ad019ea08e34e37b605ab5384186d0c	PAIRED	RANDOM
8fd0e711d55e7cbdb29fdad593b119fa	CAR0326-DNA__wgs__RunId174_LaneId1	PRJEB109258	Illumina NovaSeq X Plus	GENOMIC	CAR0326-DNA__wgs__RunId174_LaneId1_R1.fastq.gz	ERS29427663	WGS	CAR0326-DNA__wgs__RunId174_LaneId1_R2.fastq.gz	52bd299088ee1ad78a518ddd0e1f5bf1	PAIRED	RANDOM
79acf827d19e890d75d2452a73db5961	CAR0329__RNAseq__RunId135_LaneId1	PRJEB109258	Illumina NovaSeq X Plus	TRANSCRIPTOMIC	CAR0329__RNAseq__RunId135_LaneId1_R1.fastq.gz	ERS29427664	RNA-Seq	CAR0329__RNAseq__RunId135_LaneId1_R2.fastq.gz	7fdb4e7baa027d0e1e1e49b6007358d9	PAIRED	cDNA
804171cf98cce1eba3e5504c88c206d8	L1-CAR0329__RNAseq__RunId21_LaneId1	PRJEB109258	Illumina NovaSeq X Plus	TRANSCRIPTOMIC	L1-CAR0329__RNAseq__RunId21_LaneId1_R1.fastq.gz	ERS29427664	RNA-Seq	L1-CAR0329__RNAseq__RunId21_LaneId1_R2.fastq.gz	cd749eba84449dc5e275f74959c94139	PAIRED	cDNA
dfbd7cdd6c79f78c9f6216f1740118a7	L2-CAR0329__RNAseq__RunId21_LaneId1	PRJEB109258	Illumina NovaSeq X Plus	TRANSCRIPTOMIC	L2-CAR0329__RNAseq__RunId21_LaneId1_R1.fastq.gz	ERS29427664	RNA-Seq	L2-CAR0329__RNAseq__RunId21_LaneId1_R2.fastq.gz	d32599be377f05b9007ee8659d14238d	PAIRED	cDNA
8cf90e04d192f0135c2ea5d3a79ab578	CAR0329__wgs__RunId39_LaneId1	PRJEB109258	Illumina NovaSeq X Plus	GENOMIC	CAR0329__wgs__RunId39_LaneId1_R1.fastq.gz	ERS29427664	WGS	CAR0329__wgs__RunId39_LaneId1_R2.fastq.gz	75d050586e8730b96a71f565d67fe406	PAIRED	RANDOM
f324d81e4159fe37c3be32c1c1d55161	CAR0329__RNAseq__RunId038_LaneId1	PRJEB109258	Illumina NovaSeq X Plus	TRANSCRIPTOMIC	CAR0329__RNAseq__RunId038_LaneId1_R1.fastq.gz	ERS29427664	RNA-Seq	CAR0329__RNAseq__RunId038_LaneId1_R2.fastq.gz	b36ffc14a973323acab76f51e4d409ae	PAIRED	cDNA
c2bd683db4ed5fa76219f00926190efd	CAR0329-DNA__wgs__RunId106_LaneId1	PRJEB109258	Illumina NovaSeq X Plus	GENOMIC	CAR0329-DNA__wgs__RunId106_LaneId1_R1.fastq.gz	ERS29427664	WGS	CAR0329-DNA__wgs__RunId106_LaneId1_R2.fastq.gz	3e12726c6f2c8441ff3712e5f76779cc	PAIRED	RANDOM
c717bfa18388a5b1e43e54d7ff6d89f6	CAR0329-DNA__wgs__RunId174_LaneId1	PRJEB109258	Illumina NovaSeq X Plus	GENOMIC	CAR0329-DNA__wgs__RunId174_LaneId1_R1.fastq.gz	ERS29427664	WGS	CAR0329-DNA__wgs__RunId174_LaneId1_R2.fastq.gz	cfee040351850e73c744a16313c7dcc4	PAIRED	RANDOM
38104bd5d42ca4e1a6303e0e5bdc3c83	CAR0333__RNAseq__RunId135_LaneId1	PRJEB109258	Illumina NovaSeq X Plus	TRANSCRIPTOMIC	CAR0333__RNAseq__RunId135_LaneId1_R1.fastq.gz	ERS29427665	RNA-Seq	CAR0333__RNAseq__RunId135_LaneId1_R2.fastq.gz	54a196148eb966ad480cef39da30fb9d	PAIRED	cDNA
