TYPE	ACCESSION	ALIAS
SAMPLE	ERS29427662	CAR0325
SAMPLE	ERS29427663	CAR0326
SAMPLE	ERS29427664	CAR0329
SAMPLE	ERS29427665	CAR0333
SAMPLE	ERS29427666	CAR0335
SAMPLE	ERS29427667	CAR0336
SAMPLE	ERS29427668	CAR0344
SAMPLE	ERS29427669	CAR0348
SAMPLE	ERS29427670	CAR0351
SAMPLE	ERS29427671	CAR0354
SAMPLE	ERS29427672	CAR0361
SAMPLE	ERS29427673	CAR0362
SAMPLE	ERS29427674	CAR0365
SAMPLE	ERS29427675	CAR0366
SAMPLE	ERS29427676	CAR0367
SAMPLE	ERS29427677	CAR0371
SAMPLE	ERS29427678	CAR0379
SAMPLE	ERS29427679	CAR0380
SAMPLE	ERS29427680	CAR0381
SAMPLE	ERS29427681	CAR0386
SAMPLE	ERS29427682	CAR0387
SAMPLE	ERS29427683	CAR0401
SAMPLE	ERS29427684	CAR0403
SAMPLE	ERS29427685	CAR0419
SAMPLE	ERS29427686	CAR0420
SAMPLE	ERS29427687	CAR0421
SAMPLE	ERS29427688	CAR0422
SAMPLE	ERS29427689	CAR0423
SAMPLE	ERS29427690	CAR0426
SAMPLE	ERS29427691	CAR0434
SAMPLE	ERS29427692	CAR0438
SAMPLE	ERS29427693	CAR0455
SAMPLE	ERS29427694	CAR0457
SAMPLE	ERS29427695	CAR0458
SAMPLE	ERS29427696	CAR0459
SAMPLE	ERS29427697	CAR0461
SAMPLE	ERS29427698	CAR0474
SAMPLE	ERS29427699	CAR0487
SAMPLE	ERS29427700	CAR0489
SAMPLE	ERS29427701	CAR0493
SAMPLE	ERS29427702	CAR0494
SAMPLE	ERS29427703	CAR0495
SAMPLE	ERS29427704	CAR0498
SAMPLE	ERS29427705	CAR0512
SAMPLE	ERS29427706	CAR0515
SAMPLE	ERS29427707	CAR0528
SAMPLE	ERS29427708	CAR0531
SAMPLE	ERS29427709	CAR0541
SAMPLE	ERS29427710	CAR0542
SAMPLE	ERS29427711	CAR0545
SAMPLE	ERS29427712	CAR0546
SAMPLE	ERS29427713	CAR0547
SAMPLE	ERS29427714	CAR0559
SAMPLE	ERS29427715	CAR0560
SAMPLE	ERS29427716	CAR0561
SAMPLE	ERS29427717	CAR0563
SAMPLE	ERS29427718	CAR0565
SAMPLE	ERS29427719	CAR0569
SAMPLE	ERS29427720	CAR0651
SAMPLE	ERS29427721	CAR0653
SAMPLE	ERS29427722	CAR0654
SAMPLE	ERS29427723	CAR0667
SAMPLE	ERS29427724	CAR0669
SAMPLE	ERS29427725	CAR0671
SAMPLE	ERS29427726	CAR0672
SAMPLE	ERS29427727	CAR0673
SAMPLE	ERS29427728	CAR0674
SAMPLE	ERS29427729	CAR0678
SAMPLE	ERS29427730	CAR0686
SAMPLE	ERS29427731	CAR0691
SAMPLE	ERS29427732	CAR0692
SAMPLE	ERS29427733	CAR0722
SAMPLE	ERS29427734	CAR0723
SAMPLE	ERS29427735	CAR0725
SAMPLE	ERS29427736	CAR0726
SAMPLE	ERS29427737	CAR0728
SAMPLE	ERS29427738	CAR0739
SAMPLE	ERS29427739	CAR0745
SAMPLE	ERS29427740	CAR0746
SAMPLE	ERS29427741	CAR0750
SAMPLE	ERS29427742	CAR0757
SAMPLE	ERS29427743	CAR0759
SAMPLE	ERS29427744	CAR0763
SAMPLE	ERS29427745	CAR0764
SAMPLE	ERS29427746	CAR0768
SAMPLE	ERS29427747	CAR0779
SAMPLE	ERS29427748	CAR0780
SAMPLE	ERS29427749	CAR0783
SAMPLE	ERS29427750	CAR0786
SAMPLE	ERS29427751	CAR0794
SAMPLE	ERS29427752	CAR0797
SAMPLE	ERS29427753	CAR0799
SAMPLE	ERS29427754	CAR0800
SAMPLE	ERS29427755	CAR0811
SAMPLE	ERS29427756	CAR0812
SAMPLE	ERS29427757	CAR0815
SAMPLE	ERS29427758	CAR0816
SAMPLE	ERS29427759	CAR0817
SAMPLE	ERS29427760	CAR0821
SAMPLE	ERS29427761	CAR0822
SAMPLE	ERS29427762	CAR0830
SAMPLE	ERS29427763	CAR0836
SAMPLE	ERS29427764	CAR0839
SAMPLE	ERS29427765	CAR0847
SAMPLE	ERS29427766	CAR0851
SAMPLE	ERS29427767	CAR0852
SAMPLE	ERS29427768	CAR0854
SAMPLE	ERS29427769	CAR0855
SAMPLE	ERS29427770	CAR0857
SAMPLE	ERS29427771	CAR0858
SAMPLE	ERS29427772	CAR0868
SAMPLE	ERS29427773	CAR0870
SAMPLE	ERS29427774	CAR0872
SAMPLE	ERS29427775	CAR0873
SAMPLE	ERS29427776	CAR0875
SAMPLE	ERS29427777	CAR0883
SAMPLE	ERS29427778	CAR0884
SAMPLE	ERS29427779	CAR0885
SAMPLE	ERS29427780	CAR0888
SAMPLE	ERS29427781	CAR0889
SAMPLE	ERS29427782	CAR0890
SAMPLE	ERS29427783	CAR0891
SAMPLE	ERS29427784	CAR0893
SAMPLE	ERS29427785	CAR0894
SAMPLE	ERS29427786	CAR0903
SAMPLE	ERS29427787	CAR0905
SAMPLE	ERS29427788	CAR0906
SAMPLE	ERS29427789	CAR0907
SAMPLE	ERS29427790	CAR0908
SAMPLE	ERS29427791	CAR0911
SAMPLE	ERS29427792	CAR0912
SAMPLE	ERS29427793	CAR0919
SAMPLE	ERS29427794	CAR0920
SAMPLE	ERS29427795	CAR0923
SAMPLE	ERS29427796	CAR0924
SAMPLE	ERS29427797	CAR0925
SAMPLE	ERS29427798	CAR0926
SAMPLE	ERS29427799	CAR0929
SAMPLE	ERS29427800	CAR0937
SAMPLE	ERS29427801	CAR0938
SAMPLE	ERS29427802	CAR0941
SAMPLE	ERS29427803	CAR0944
SAMPLE	ERS29427804	CAR0945
SAMPLE	ERS29427805	CAR0947
SAMPLE	ERS29427806	CAR0948
SAMPLE	ERS29427807	CAR0955
SAMPLE	ERS29427808	CAR0956
SAMPLE	ERS29427809	CAR0957
SAMPLE	ERS29427810	CAR0959
SAMPLE	ERS29427811	CAR0960
SAMPLE	ERS29427812	CAR0963
SAMPLE	ERS29427813	CAR0966
SAMPLE	ERS29427814	CGR0001
SAMPLE	ERS29427815	CGR0002
SAMPLE	ERS29427816	CGR0003
SAMPLE	ERS29427817	CGR0004
SAMPLE	ERS29427818	CGR0008
SAMPLE	ERS29427819	CGR0009
SAMPLE	ERS29427820	CGR0011
SAMPLE	ERS29427821	CGR0013
SAMPLE	ERS29427822	CGR0014
SAMPLE	ERS29427823	CGR0015
SAMPLE	ERS29427824	CGR0017
SAMPLE	ERS29427825	CGR0018
SAMPLE	ERS29427826	CGR0020
SAMPLE	ERS29427827	CGR0022
SAMPLE	ERS29427828	CGR0023
SAMPLE	ERS29427829	CGR0028
SAMPLE	ERS29427830	CGR0031
SAMPLE	ERS29427831	CGR0032
SAMPLE	ERS29427832	CGR0033
SAMPLE	ERS29427833	CGR0035
SAMPLE	ERS29427834	CGR0037
SAMPLE	ERS29427835	CGR0038
SAMPLE	ERS29427836	CGR0039
SAMPLE	ERS29427837	CGR0041
SAMPLE	ERS29427838	CGR0043
SAMPLE	ERS29427839	CGR0044
SAMPLE	ERS29427840	CGR0045
SAMPLE	ERS29427841	CGR0046
SAMPLE	ERS29427842	CGR0048
SAMPLE	ERS29427843	CGR0049
SAMPLE	ERS29427844	CGR0050
SAMPLE	ERS29427845	CGR0054
SAMPLE	ERS29427846	CGR0057
SAMPLE	ERS29427847	CGR0058
SAMPLE	ERS29427848	CGR0060
SAMPLE	ERS29427849	CGR0061
SAMPLE	ERS29427850	CGR0065
SAMPLE	ERS29427851	CGR0072
SAMPLE	ERS29427852	CGR0080
SAMPLE	ERS29427853	CGR0081
SAMPLE	ERS29427854	CGR0085
SAMPLE	ERS29427855	CGR0086
SAMPLE	ERS29427856	CGR0087
SAMPLE	ERS29427857	CGR0092
SAMPLE	ERS29427858	CGR0093
SAMPLE	ERS29427859	CGR0099
